"","Year","Song","Artist","War","Min_deaths","Max_deaths","beginning","ending","Combatants","Location","duration","avg_death"
"20","1963","""Blowin' in the Wind""","Bob Dylan","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"21","1980","""Bombs Away""","The Police","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"22","2003","""Boom!""","System of a Down","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"23","2019","""British Bombs""","Declan McKenna","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"24","1996","""Bulls on Parade""","Rage Against the Machine","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"25","1992","""Campo de Batalha""","Edson Gomes","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"26","2004","""Captured""","Malevolent Creation","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"27","2012","""A dream""","Ebi & Shadmehr Aghili","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"28","2012","""Cease Fire""","Christina Aguilera","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"29","1990","""Civil War""","Guns N' Roses","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"30","2005","""The Courier""","Richard Shindell","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"31","1969","""Cranes"" (Журавли́)","Rasul Gamzatov / Yan Frenkel / Mark Bernes","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"32","1975","""Den vita duvan""","Mats Rådberg","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"33","1954","""Le Déserteur""","Boris Vian","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"34","1986","""Disposable Heroes""","Metallica","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"35","2004","“Holiday”","Green Day","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"36","2016","""Divide And Conquer""","Epica","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"37","1987","""The Dogs of War""","Pink Floyd","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"38","1980","""Don't Shoot!"" (Не стреляй!)","DDT","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"39","1968","""Draft Morning""","The Byrds","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"40","1969","""Echo Park""","Keith Barbour","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"41","1965","""Eve of Destruction""","Barry McGuire","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"42","2003","""Face In The Sand""","Iron Maiden","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"43","2007","""Faces of War""","Black Majesty","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"44","1969","""The Fiddle and the Drum""","Joni Mitchell","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"45","1995","""Foggy Dew""","Sinéad O'Connor","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"46","2015","""For Peace""","Lionder","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"47","2006","""For the Greater Good of God""","Iron Maiden","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"48","1984","""For Whom the Bell Tolls""","Metallica","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"49","1969","""Fortunate Son""","Creedence Clearwater Revival","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"50","1980","""Games Without Frontiers""","Peter Gabriel","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"51","1974","""The Gates of Delirium""","Yes","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"52","1998","""The General""","Dispatch","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"53","2017","""Coachella - Woodstock in My Mind""","Lana Del Rey","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"54","2004","""The Ghost of You""","My Chemical Romance","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"55","1978","""Gimme Peace""","Tom T Hall","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"56","1973","""Give Me Love (Give Me Peace on Earth)""","George Harrison","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"57","1969","""Give Peace a Chance""","Plastic Ono Band, John Lennon","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"58","2002","""Going Down in Flames""","3 Doors Down","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"59","1962","""La Guerre de 14–18""","Georges Brassens","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"60","1987","""Gun Shy""","10,000 Maniacs","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"61","1983","""The Gunner's Dream""","Pink Floyd","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"62","2007","""Gunslinger""","Avenged Sevenfold","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"63","2010","""Half a World Away""","Joe Cerisano","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"64","1984","""Hammer to Fall""","Queen","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"65","2008","""Handlebars""","Flobots","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"66","1966","""Handsome Johnny""","Richie Havens","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"67","2010","""Harmony""","Never Shout Never","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"68","1969","""Harold Land""","Yes","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"69","1991","""Heal the World""","Michael Jackson","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"70","2008","""Hero of War""","Rise Against","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"71","2007","""Heroes and Martyrs""","Bad Religion","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"72","1995","""HIStory""","Michael Jackson","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"73","2010","""Holy War""","Asia","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"74","1985","""How Many Tears""","Helloween","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"75","2006","""Hymn for the Dead""","Anti-Flag","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"76","1987","""Gods of War""","Def Leppard","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"77","1965","""I Ain't Marching Anymore""","Phil Ochs","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"78","1987","""I Don't Want to Be a Hero""","Johnny Hates Jazz","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"79","2012","""I Drive Your Truck""","Lee Brice","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"80","1984","""I Hope You Get Drafted""","The Dicks","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"81","2009","""I Know""","The Proclaimers","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"82","1982","""I Love a Man in a Uniform""","Gang of Four","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"83","1975","""I Wish You Peace""","Eagles","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"84","1967","""If I Can Dream""","Elvis Presley","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"85","2006","""Il Nostro Sogno (Our Dream)""","Alfio","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"86","1971","""Imagine""","John Lennon","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"87","2011","""Imagine""","Siavash Ghomayshi","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"88","1995","""In Our Garden""","Naomi Shemer","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"89","2001","""The Lost Children""","Michael Jackson","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"90","1981","""Invisible Sun""","The Police","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"91","2001","""Jet Fighter""","Butthole Surfers","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"92","1962","""John Brown""","Bob Dylan","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"93","2007","""Just a Dream""","Carrie Underwood","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"94","1992","""Killing in the Name""","Rage Against the Machine","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"95","2013","""Krieg kennt keine Sieger""","Saltatio Mortis","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"96","2014","""Kukoku No Kyouon""","Dir en Grey","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"97","1974","""La La Peace Song""","Al Wilson, O. C. Smith","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"98","1980","""Last Chance""","Shooting Star","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"99","1950","""Last Night I Had the Strangest Dream""","Ed McCurdy","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"100","1973","""Lay Down Your Arms""","Doron Levinson","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"101","1986","""Lay Down Your Guns""","Emerson, Lake & Powell","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"102","1966","""Legend of a Girl Child Linda""","Donovan","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"103","2016","""Lessons from the Past""","Psy'Aviah ft. Mari Kattman","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"104","2013","""Letters Home""","Radical Face","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"105","1971","""Life""","Elvis Presley","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"106","1983","""A Little Good News""","Anne Murray","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"107","1979","""Little Boy Soldiers""","The Jam","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"108","1986","""Live in Peace""","The Firm","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"109","2006","""Living With War""","Neil Young","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"110","1990","""Love Can Build a Bridge""","The Judds","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"111","1973","""Love Train""","The O'Jays","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"112","1970","""Lucky Man""","Emerson, Lake and Palmer","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"113","1973","""Luglio, Agosto, Settembre (Nero)""","Area","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"114","1967","""Ma Avarech"" (""With What Shall I Bless?"")","Rachel Shapira/Yair Rosenblum","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"115","1982","""Major General Despair""","Crass","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"116","1977","""Man of War""","The Jacksons","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"117","1989","""Mandatory Suicide""","Slayer","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"118","1997","""March With Me""","Montserrat Caballé and Vangelis","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"119","1963","""Masters of War""","Bob Dylan","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"120","1962","""May There Always Be Sunshine"" (Пусть всегда будет солнце!)","Lev Oshanin / Arkady Ostrovsky / Maya Kristalinskaya","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"121","1997","""Mercenary Song""","Steve Earle","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"122","1986","""Method to Your Madness""","Metal Church","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"123","2005","""M.I.A.""","Avenged Sevenfold","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"124","1971","""Military Madness""","Graham Nash","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"125","2000","""Mimi wo Sumashite"" (耳をすまして)","Hazuki Fujiwara (Tomoko Akiya)","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"126","1961","""Miss Guéguerre""","Léo Ferré","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"127","2008","""Mr. President""","Janelle Monáe","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"128","1993","""Né en 17 à Leidenstadt""","Jean-Jacques Goldman","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"129","1970","""Never Kill Another Man""","Steve Miller Band","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"130","2001","""No Curse of War""","Kenjah","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"131","1980","""No Dudaría""","Antonio Flores","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"132","1984","""No Fuckin' War""","The Dicks","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"133","1978","""No More Trouble""","Bob Marley & The Wailers","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"134","1983","""Not Now John""","Pink Floyd","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"135","2009","""One Day""","Matisyahu","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"136","1982","""One Hundred Years""","The Cure","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"137","1997","""One More Parade""","Phil Ochs","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"138","1969","""One Tin Soldier""","Original Caste","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"139","1969","Oseh Shalom bi-Meromav","Nurit Hirsh","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"140","2007","""Our Solemn Hour""","Within Temptation","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"141","1961","""Pacific Blues""","Léo Ferré","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"142","1989","""Papa Stop the War""","Chicco Twala featuring Mzwaki Mbuli","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"143","1982","""Part III""","Bad Religion","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"144","1988","""Part IV (The Index Fossil)""","Bad Religion","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"145","1972","""The Patriot's Dream""","Gordon Lightfoot","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"146","2002","""Paz y Amor"" (""Peace and love"")","Gisela","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"147","1981","""Peace""","Roger Lee Hall","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"148","1986","""Peace Sells""","Megadeth","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"149","1971","""Peace Train""","Cat Stevens","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"150","1977","""Peace Will Come""","Tom Paxton","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"151","1970","""Peace Will Come (According To Plan)""","Melanie Safka","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"152","2003","""Peacekeeper""","Fleetwood Mac","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"153","2000","""Pick Up the Bones""","Alice Cooper","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"154","1982","""Pipes of Peace""","Paul McCartney","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"155","1986","""Plantas Embaixo do Aquário""","Legião Urbana","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"156","2002","""Poor Places""","Wilco","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"157","1986","""Potshot Heard 'Round the World""","Dead Kennedys","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"158","1983","""Power & the Glory""","Saxon","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"159","1958","""Prayer for Peace""","Perry Como","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"160","2002","""Prisoners of War""","Funker Vogt","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"161","1976","""Protocol""","Gordon Lightfoot","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"162","2015","""Psycho""","Muse","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"163","1987","""Put Down That Weapon""","Midnight Oil","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"164","1981","""Rainbow Stew""","Merle Haggard","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"165","1986","""Rambozo the Clown""","Dead Kennedys","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"166","1979","""Ratziti Sheteda""","Uzi Hitman","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"167","1961","""Regardez-les""","Léo Ferré","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"168","2018","""Raise Your Banner""","Within Temptation","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"169","1992","""Rest in Peace""","Extreme","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"170","2006","""Right in Two""","Tool","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"171","2005","""Road to Joy""","Bright Eyes","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"172","1992","""Rooster""","Alice in Chains","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"173","1984","""Rose Goes to Yale""","Jefferson Starship","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"174","1995","""Sacrifice""","Motörhead","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"175","2018","""Saints Don't Die""","MaYan","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"176","1962","""Sag mir, wo die Blumen sind""","Marlene Dietrich","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"177","2006","""Saraba""","The Gazette","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"178","1991","""Semper Fi""","John Gorka","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"179","1974","""Sergeant Where's Mine?""","Billy Conolly","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"180","1993","""Shades of Grey""","Billy Joel","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"181","1970","""Shir LaShalom""","Lehakat HaNachal","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"182","1982","""Short Memory""","Midnight Oil","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"183","1984","""Showdown""","Jefferson Starship","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"184","1968","""Six White Horses""","Henson Cargill","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"185","1984","""Soldados""","Legião Urbana","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"186","1971","""Soldier Blue""","Buffy Sainte-Marie","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"187","1966","""The Soldier Has Come Home""","Barry Sadler","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"188","2005","""Soldier Side""","System of a Down","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"189","1986","""Soldier of Plenty""","Jackson Browne","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"190","2011","""Soldier's Angel""","Stevie Nicks","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"191","2006","""Soldier's Poem""","Muse","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"192","1981","""Soldiers""","ABBA","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"193","1978","""Sólo le pido a Dios""","León Gieco / Mercedes Sosa","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"194","1971","""Soldiers Who Want To Be Heroes""","Rod McKuen","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"195","1969","""Some Mother's Son""","The Kinks","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"196","1995","""Still Spinning Shrapnel""","Skyclad","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"197","2010","""Stop the War""","Sugar Blue","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"198","1970","""Stop the War Now""","Edwin Starr","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"199","1982","""Stories of a Hero""","Frank Marino","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"200","1985","""Stupid, Stupid War""","Dirty Rotten Imbeciles","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"201","1983","""Sunday Bloody Sunday""","U2","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"202","2011","""Survivor Guilt""","Rise Against","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"203","1992","""Sweet Harmony""","The Beloved","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"204","1992","""Systematic Execution""","Malevolent Creation","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"205","1990","""Take No Prisoners""","Megadeth","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"206","1978","""Tank""","The Stranglers","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"207","1992","""Tear Down These Walls""","Debbie Gibson","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"208","1985","""Territories""","Rush","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"209","1964","""There but for Fortune""","Phil Ochs","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"210","2008","""The Price of a Mile""","Sabaton","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"211","1981","""They All Look The Same""","Grace Slick","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"212","1996","""They Don't Care About Us""","Michael Jackson","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"213","2009","""'Til the Last Shot's Fired""","Trace Adkins","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"214","1994","""Time for Peace"" (""Zaman el Salaam"")","Amnon Abutbul / Yair Dalal","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"215","2009","""This is War""","Thirty Seconds to Mars","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"216","2018","""The Reckoning""","Within Temptation","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"217","2017","""This is War""","Bush","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"218","1980","""Tin Soldiers""","Stiff Little Fingers","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"219","1990","""Too Many Puppies""","Primus","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"220","1993","""Too Young to Die""","Jamiroquai","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"221","2010","""Trigger Happy Hands""","Placebo","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"222","2010","""Train on Fire"" (Поезд в огне)","Boris Grebenshchikov/Aquarium","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"223","1987","""Tränen im Ozean""","Juliane Werding","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"224","1966","""Trooper's Lament""","Barry Sadler","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"225","1959","""Turn! Turn! Turn!""","Pete Seeger","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"226","2014","""Unchain Utopia""","Epica","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"227","1993","""Under The Same Sun""","Scorpions","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"228","1971","""Ungena Za Ulimwengu (Unite the World)""","The Temptations","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"229","1964","""Universal Soldier""","Buffy Sainte-Marie","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"230","1982","""Under Pressure""","Queen ft. David Bowie","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
