"","Year","Song","War","Min_deaths","Max_deaths","beginning","ending","Combatants","Location","duration","avg_death","n_songs_by_war","id"
"15",1945,"""At Mail Call Today"" - Gene Autry","World War II",56125162,8.5e+07,1939,1945,"Allied powers vs. Axis Powers
","Worldwide",6,70562581,30,2
"16",1949,"""D-Day Dodgers"" - Lance Sergeant Harry Pynn","World War II",56125162,8.5e+07,1939,1945,"Allied powers vs. Axis Powers
","Worldwide",6,70562581,30,3
"17",1954,"""Thirteen Women and Only One Man in Town"" - Bill Haley and the Comets","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,1
"18",1957,"""Talking Atom"" - Oscar Brand","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,2
"19",1959,"""Johnny Reb"" - Johnny Horton","American Civil War",650000,1e+06,1861,1865,"United States vs. Confederate States
","USA",4,825000,34,9
"20",1959,"""We Will All Go Together"" - Tom Lehrer","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,3
"21",1961,"""A Mushroom Cloud"" - Sammy Salvo","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,4
"22",1961,"""Do the Russians Want War?"" - Mark Bernes","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,5
"23",1962,"""The Big Battle"" - Johnny Cash","American Civil War",650000,1e+06,1861,1865,"United States vs. Confederate States
","USA",4,825000,34,10
"24",1962,"""Vietnam"" - Phil Ochs","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,1
"25",1962,"""A Hard Rain's A-gonna Fall"" - Bob Dylan","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,6
"26",1962,"""(Walk Me Out in the) Morning Dew"" - Bonnie Dobson","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,7
"27",1963,"""In the Hills of Shiloh"" - Shel Silverstein","American Civil War",650000,1e+06,1861,1865,"United States vs. Confederate States
","USA",4,825000,34,11
"28",1963,"""Oh, What a Lovely War! (musical)"" - Joan Littlewood","World War I",1.6e+07,3e+07,1914,1918,"Allied Powers vs. Central Powers
","Worldwide",4,2.3e+07,48,5
"29",1963,"""Spanish Civil War Song"" (or ""Spanish Lament"") - Phil Ochs","Spanish Civil War",5e+05,1e+06,1936,1939,"Nationalists vs. Republicans
","Spain",3,750000,9,2
"30",1963,"""Come Away Melinda"" - Harry Belafonte","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,8
"31",1963,"""The Sun is Burning"" - Ian Campbell Folk Group (also covered by Luke Kelly and Simon and Garfunkel)","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,9
"32",1964,"""The Ballad of Ira Hayes"" - Johnny Cash","World War II",56125162,8.5e+07,1939,1945,"Allied powers vs. Axis Powers
","Worldwide",6,70562581,30,4
"33",1964,"""One More Parade"" - Phil Ochs","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,2
"34",1964,"""Talkin' Vietnam"" - Phil Ochs","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,3
"35",1964,"""What Did You Learn in School Today?"" - Tom Paxton","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,4
"36",1964,"""My Radiation Baby (My Teenage Fallout Queen)"" - George McKelvey","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,10
"37",1965,"""Business Goes on as Usual"" - Chad Mitchell Trio","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,5
"38",1965,"""Dear Uncle Sam"" - Loretta Lynn","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,6
"39",1965,"""Eve of Destruction"" - Barry McGuire and P.F. Sloan","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,7
"40",1965,"""Goodbye to Vietnam"" - Kitty Hawkins","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,8
"41",1965,"""I Ain't Marching Anymore"" - Phil Ochs","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,9
"42",1965,"""Lyndon Johnson Told The Nation"" - Tom Paxton","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,10
"43",1965,"""The War Drags On"" - Donovan","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,11
"44",1965,"""The Willing Conscript"" - Tom Paxton","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,12
"45",1965,"""We Didn't Know"" - Tom Paxton","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,13
"46",1965,"""Eve of Destruction"" - P.F. Sloan (also recorded by Barry McGuire and The Turtles)","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,11
"47",1965,"""MLF Lullaby"" - Tom Lehrer","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,12
"48",1965,"""So Long, Mom (A Song for World War III)"" - Tom Lehrer","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,13
"49",1965,"""Who's Next?"" - Tom Lehrer","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,14
"50",1966,"""7 O'Clock News/Silent Night"" - Simon & Garfunkel","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,14
"51",1966,"""Bring Them Home"" - Pete Seeger","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,15
"52",1966,"""C'era un ragazzo che come me amava i Beatles e i Rolling Stones"" - Gianni Morandi","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,16
"53",1966,"""Get It While You can"" - Janis Joplin","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,17
"54",1966,"""I Am a Lucky One"" - Barry Sadler","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,18
"55",1966,"""Kill for Peace"" - The Fugs","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,19
"56",1966,"""Last Train To Clarksville"" - The Monkees","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,20
"57",1966,"""Letter From Vietnam"" - Barry Sadler","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,21
"58",1966,"""My Name Is Lisa Kalvelage"" - Pete Seeger","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,22
"59",1966,"""My Son John"" - Tom Paxton","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,23
"60",1966,"""Salute to the Nurses"" - Barry Sadler","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,24
"61",1966,"""The Soldier Has Come Home"" - Barry Sadler","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,25
"62",1966,"""Vietcong Blues"" - Junior Wells","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,26
"63",1966,"""Vietnam Blues"" - Kris Kristofferson","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,27
"64",1966,"""Welterusten meneer de president (Sleep Well Mr. President)"" - Boudewijn de Groot","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,28
"65",1966,"""I Come and Stand at Every Door"" (based on a poem by Nazım Hikmet) - Pete Seeger","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,15
"66",1967,"""Snoopy's Christmas"" - The Royal Guardsmen","World War I",1.6e+07,3e+07,1914,1918,"Allied Powers vs. Central Powers
","Worldwide",4,2.3e+07,48,6
"67",1967,"""Alice's Restaurant Massacree"" - Arlo Guthrie","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,29
"68",1967,"""Fixin to Die Rag"" - Country Joe McDonald","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,30
"69",1967,"""For What It's Worth"" - Buffalo Springfield","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,31
"70",1967,"""I-Feel-Like-I'm-Fixin'-To-Die Rag"" - Country Joe and the Fish","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,32
"71",1967,"""On the Path of Glory"" - Petula Clark","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,33
"72",1967,"""Requiem for the Masses"" - The Association","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,34
"73",1967,"""Saigon Bride"" - Joan Baez","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,35
"74",1967,"""Super Bird"" - Country Joe and the Fish","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,36
"75",1967,"""Take it Back"" - Cream","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,37
"76",1967,"""Waist Deep in the Big Muddy"" - Pete Seeger","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,38
"77",1967,"""Four Green Fields"" - Tommy Makem","The Troubles of Northern Ireland",3529,3529,1966,1998,"UK vs IRA","United Kingdom",32,3529,60,1
"78",1967,"""20 Tons of TNT"" - Flanders and Swann","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,16
"79",1968,"""Six White Horses"" - Henson Cargill","American Civil War",650000,1e+06,1861,1865,"United States vs. Confederate States
","USA",4,825000,34,12
"80",1968,"""The Klan"" - Richie Havens","American Civil War",650000,1e+06,1861,1865,"United States vs. Confederate States
","USA",4,825000,34,13
"81",1968,"""Butcher's Tale (Western Front 1914)"" - The Zombies","World War I",1.6e+07,3e+07,1914,1918,"Allied Powers vs. Central Powers
","Worldwide",4,2.3e+07,48,7
"82",1968,"""Corporal Clegg"" - Pink Floyd","World War II",56125162,8.5e+07,1939,1945,"Allied powers vs. Axis Powers
","Worldwide",6,70562581,30,5
"83",1968,"""2 + 2 = ?"" - Bob Seger System","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,39
"84",1968,"""Draft Morning"" - The Byrds","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,40
"85",1968,"""I Don't Wanna Go To Vietnam"" - John Lee Hooker","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,41
"86",1968,"""Kay"" - John Wesley Ryles","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,42
"87",1968,"""Por Vietnam"" - Quilapayún","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,43
"88",1968,"""Simple Song of Freedom"" - Bobby Darin","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,44
"89",1968,"""Sky Pilot"" - Eric Burdon and The Animals","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,45
"90",1968,"""Talking Vietnam Potluck Blues"" - Tom Paxton","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,46
"91",1968,"""Three-Five-Zero-Zero"" - from the musical, Hair","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,47
"92",1968,"""Unknown Soldier"" - The Doors","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,48
"93",1968,"""War Games"" - the Monkees","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,49
"94",1968,"""The War Is Over"" - Phil Ochs","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,50
"95",1968,"""White Boots Marching in a Yellow Land"" - Phil Ochs","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,51
"96",1968,"""1983... (A Merman I Should Turn to Be)"" - The Jimi Hendrix Experience","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,17
"97",1969,"""Arkansas Grass"" - Axiom","American Civil War",650000,1e+06,1861,1865,"United States vs. Confederate States
","USA",4,825000,34,14
"98",1969,"""The Night They Drove Old Dixie Down"" - The Band","American Civil War",650000,1e+06,1861,1865,"United States vs. Confederate States
","USA",4,825000,34,15
"99",1969,"""Some Mother's Son"" - The Kinks","World War I",1.6e+07,3e+07,1914,1918,"Allied Powers vs. Central Powers
","Worldwide",4,2.3e+07,48,8
"100",1969,"""Yes Sir, No Sir"" - The Kinks","World War I",1.6e+07,3e+07,1914,1918,"Allied Powers vs. Central Powers
","Worldwide",4,2.3e+07,48,9
"101",1969,"""Mr. Churchill Says"" - The Kinks","World War II",56125162,8.5e+07,1939,1945,"Allied powers vs. Axis Powers
","Worldwide",6,70562581,30,6
"102",1969,"""21st Century Schizoid Man"" - King Crimson","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,52
"103",1969,"""Declaration"" - The Fifth Dimension","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,53
"104",1969,"""Disk of Sun"" - Ewan MacColl","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,54
"105",1969,"""The Fiddle and the Drum"" - Joni Mitchell","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,55
"106",1969,"""Fortunate Son"" - Creedence Clearwater Revival","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,56
"107",1969,"""Galveston"" - Glen Campbell","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,57
"108",1969,"""Gimme Shelter"" - Rolling Stones","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,58
"109",1969,"""Give Peace a Chance"" - The Plastic Ono Band","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,59
"110",1969,"""Smiley"" - Ronnie Burns","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,60
"111",1969,"""Sweet Cherry Wine"" - Tommy James and the Shondells","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,61
"112",1969,"""To Susan on the West Coast Waiting"" - Donovan","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,62
"113",1969,"""Wasted Words"" - The Motions with Robbie van Leeuwen","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,63
"114",1969,"""Wooden Ships"" - Crosby, Stills & Nash and Jefferson Airplane","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,64
"115",1969,"""Epitaph"" - King Crimson","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,18
"116",1970,"""American Woman"" - The Guess Who","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,65
"117",1970,"""Ball of Confusion (That's What the World Is Today)"" - The Temptations","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,66
"118",1970,"""Child in Time"" - Deep Purple","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,67
"119",1970,"""Draft Resister"" - Steppenwolf","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,68
"120",1970,"""Frightened Lady"" - The Hollies","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,69
"121",1970,"""Hand of Doom"" - Black Sabbath","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,70
"122",1970,"""I Should Be Proud"" - Martha and the Vandellas","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,71
"123",1970,"""I'm Your Captain (Closer to Home)"" - Grand Funk Railroad","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,72
"124",1970,"""Kent State Massacre"" - Jack Warshaw","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,73
"125",1970,"""Kill Your Sons"" - Lou Reed","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,74
"126",1970,"""Last Train to Nuremberg"" - Pete Seeger","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,75
"127",1970,"""Lay Down (Candles in the Rain)"" - Melanie Safka","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,76
"128",1970,"""Machine Gun"" - Jimi Hendrix","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,77
"129",1970,"""Mama Bake a Pie (Daddy Kill a Chicken)"" - Tom T. Hall","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,78
"130",1970,"""Ohio"" - Neil Young","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,79
"131",1970,"""Question"" - The Moody Blues","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,80
"132",1970,"""Running Gun Blues"" - David Bowie","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,81
"133",1970,"""Silent Homecoming"" - Ringo Starr","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,82
"134",1970,"""Sit Down Young Stranger"" - Gordon Lightfoot","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,83
"135",1970,"""Stoned Love"" - The Supremes","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,84
"136",1970,"""Vietnam"" - Jimmy Cliff","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,85
"137",1970,"""War"" - Edwin Starr","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,86
"138",1970,"""War Pigs"" - Black Sabbath","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,87
"139",1970,"""Woodstock"" - Joni Mitchell and Crosby, Stills, Nash & Young","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,88
"140",1970,"""Electric Funeral"" - Black Sabbath","Cold War / nuclear annihilation",3900000,8800000,1947,1991,"USA vs Soviet Union","Worldwide",44,6350000,125,19
"141",1971,"""Bring The Boys Home"" - Freda Payne","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,89
"142",1971,"""The Grave"" - Don McLean","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,90
"143",1971,"""Happy Xmas (War Is Over)"" - John Lennon & Yoko Ono/The Plastic Ono Band","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,91
"144",1971,"""I'd Love to Change the World"" - Ten Years After","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,92
"145",1971,"""Imagine"" - John Lennon","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,93
"146",1971,"""Man in Black"" - Johnny Cash","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,94
"147",1971,"""Moratorium"" - Buffy Sainte-Marie","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,95
"148",1971,"""One Tin Soldier"" - Coven","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,96
"149",1971,"""People, Let's Stop the War"" - Grand Funk Railroad","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,97
"150",1971,"""Sam Stone"" - John Prine","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,98
"151",1971,"""Singing in Vietnam Talking Blues"" - Johnny Cash","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,99
"152",1971,"""Six White Horses"" - Waylon Jennings","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,100
"153",1971,"""Student Demonstration Time"" - The Beach Boys","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,101
"154",1971,"""Sunshine"" - Jonathan Edwards","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,102
"155",1971,"""War Movie"" - Jefferson Airplane","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,103
"156",1971,"""What's Going On"" - Marvin Gaye","Vietnam War era",2400000,4300000,1955,1975,"South Vietnam and allies vs. North Vietnam and allies
","Vietnam",20,3350000,174,104
